COMMIT_HASH,#FILES,#CHANGED_FILES,%CHANGES,#COLLABORATORS,#COMMITS,CHANGES_AVERAGE,CHANGES_MEDIAN,CHANGES_SD
0874c14b2c875ef67cf90a366a04534a05b6349d,228,1,0.0043859649122807015,1,22378,,,
1c52657d7df1a764a96243f4b37ac0c6963a3800,229,1,0.004366812227074236,1,5175,,,
1cb67932f6272f3817ff5e14570ea32fd4f3af6b,228,2,0.008771929824561403,1,12786,,,
299cb931470c8e3186baffacef4494d18e4705f5,228,1,0.0043859649122807015,1,15225,,,
2ba26f1bb634d51f7dae527dcd8162ffbe39f09b,228,1,0.0043859649122807015,1,27141,,,
3ccd8dad3198a63cd4a1d63f47faa4eaebe9e119,227,3,0.013215859030837005,1,36655,,,
5775603f49d95f6c3861934b937917db683d012b,228,1,0.0043859649122807015,1,19995,,,
67a451ea8414761de811aff1eb427f932ae79645,229,1,0.004366812227074236,1,7761,,,
699eeba9f02d0b59aced006be3979e15e4d9ac18,229,2,0.008733624454148471,1,2588,,,
8060cb60a2ee17a7bfe306d98ba07398ebd201b9,228,2,0.008771929824561403,1,17611,,,
80910293293c606de620f6f5092b9a649d475b80,229,2,0.008733624454148471,1,10346,,,
9d44d3290b95473516c398f48f4e176d228e2d6e,228,1,0.0043859649122807015,1,31900,,,
METRICS,,,,,,1.6666666666666667,1.0,0.8997354108424374
accea6648c73b79d09c20f9607a899a79fcc02a0,228,1,0.0043859649122807015,1,24760,,,
b3fdaa97928d628aea67ffcbd07680e8d0d42590,228,4,0.017543859649122806,1,34278,,,
fb911af2cd7d7baeb96d347a10519d25433a8fc9,228,2,0.008771929824561403,1,29521,,,
